## OpenNewTables (player, pot, flop, score) -> 29.07.2010 23:56:37 ##
8;0,48;54,00;0,75
7;0,87;62,00;0,90
7;0,87;62,00;0,90
7;0,72;48,00;0,73
7;0,60;64,00;0,87
8;0,35;50,00;0,68
8;0,36;52,00;0,70
8;0,34;48,00;0,65
7;0,44;44,00;0,64
8;0,42;41,00;0,60
7;0,42;40,00;0,59
8;0,74;44,00;0,70
8;0,66;38,00;0,62
8;0,73;34,00;0,60
8;0,72;46,00;0,71
7;0,61;37,00;0,60
7;0,37;41,00;0,59
## OpenNewTables (player, pot, flop, score) -> 30.07.2010 00:50:42 ##
8;0,55;63,00;0,85
8;0,38;58,00;0,76
8;0,65;47,00;0,71
8;0,39;53,00;0,72
8;0,63;49,00;0,73
8;0,47;57,00;0,78
7;0,63;41,00;0,65
8;0,55;41,00;0,63
8;0,75;38,00;0,64
8;0,36;38,00;0,56
8;0,69;38,00;0,63
8;0,31;34,00;0,51
8;0,41;51,00;0,70
8;0,65;41,00;0,65
8;0,33;40,00;0,57
8;0,63;51,00;0,75
7;0,34;69,00;0,86
## OpenNewTables (player, pot, flop, score) -> 07.08.2010 20:45:59 ##
7;0,51;45,00;0,66
## OpenNewTables (player, pot, flop, score) -> 09.08.2010 21:05:19 ##
8;0,69;68,00;0,93
8;0,55;42,00;0,64
8;0,95;36,00;0,65
8;0,84;54,00;0,81
8;0,45;54,00;0,74
7;0,36;58,00;0,76
8;0,58;51,00;0,74
7;0,42;57,00;0,76
8;0,33;56,00;0,73
8;0,31;52,00;0,69
8;0,31;52,00;0,69
7;0,43;60,00;0,80
7;0,54;50,00;0,72
7;0,39;48,00;0,67
7;0,37;57,00;0,75
## OpenNewTables (player, pot, flop, score) -> 09.08.2010 21:36:47 ##
8;0,64;53,00;0,77
8;0,64;53,00;0,77
8;0,42;48,00;0,67
8;0,84;44,00;0,71
8;0,47;46,00;0,67
7;0,92;100,00;1,29
8;0,37;39,00;0,57
8;0,51;33,00;0,54
8;0,45;55,00;0,75
8;0,38;51,00;0,69
7;0,48;34,00;0,55
8;0,79;34,00;0,61
## OpenNewTables (player, pot, flop, score) -> 09.08.2010 22:22:15 ##
8;0,33;80,00;0,97
8;0,38;58,00;0,76
8;0,53;34,00;0,56
7;0,37;33,00;0,51
8;0,43;39,00;0,59
8;0,69;52,00;0,77
8;0,42;65,00;0,84
7;0,91;53,00;0,82
8;0,33;50,00;0,67
8;0,52;44,00;0,66
8;0,33;51,00;0,68
8;0,58;42,00;0,65
## OpenNewTables (player, pot, flop, score) -> 09.08.2010 23:16:06 ##
8;1,00;28,00;0,58
8;0,70;36,00;0,61
8;0,33;69,00;0,86
7;0,66;37,00;0,61
8;0,35;32,00;0,50
8;0,30;30,00;0,46
7;0,54;59,00;0,81
8;0,36;35,00;0,53
8;1,00;37,00;0,67
8;0,59;32,00;0,55
8;0,41;32,00;0,51
8;0,60;31,00;0,54
7;0,70;58,00;0,83
## OpenNewTables (player, pot, flop, score) -> 10.08.2010 00:04:13 ##
8;0,42;30,00;0,49
8;0,38;37,00;0,55
8;0,32;25,00;0,42
8;0,44;43,00;0,63
8;0,40;38,00;0,57
8;1,00;39,00;0,69
8;0,92;36,00;0,65
7;0,48;28,00;0,49
8;0,44;39,00;0,59
8;0,42;31,00;0,50
8;0,56;29,00;0,51
8;0,38;26,00;0,44
8;0,78;29,00;0,55
